,Name,style,IBU,ABV,Description
8172,Barrel Aged Woke (2018),Stout - Other,35,8.0,"This Breakfast Stout brewed with Paul Family Farm's Maple Syrup and then laid to rest in Heaven Hill barrels for 18 months. We then conditioned the beer on Mexican Oaxaca coffee from our friends at 19 Coffee, more Maple Syrup, Cacao Nibs, and Madagascar Vanilla Beans. Read Less"
8179,30th Anniversary Imperial Oyster Stout,Stout - Oyster,37,11.0,"To celebrate our pearl anniversary we added fresh shucked oysters and cocoa nibs to this special Imperial Stout, symbolizing the hard work and sweet memories we’ve shared over 30 years of independent, family-owned craft brewing. Savor the rich, chocolaty flavors and subtle saltiness as you help us toast to the next 30 years. Read Less"
8180,Barrel Aged Imperial Oyster Stout,Stout - Oyster,37,11.0,Barrel aged o
8183,Oyster Tompkins,Stout - Oyster,50,10.1,Stout - Oyster
8184,Sea Of Companions,Stout - Oyster,32,8.0,"An oyster stout brewed in celebration and exaltation of the bi-valve, at the gathering for a roa"
8188,Shucking Good Stout,Stout - Oyster,24,7.4,Stout - Oyster
8193,Pemaquid Oyster Stout,Stout - Oyster,38,6.3,Stout - Oyster
8194,Oyster Stout,Stout - Oyster,35,6.6,Stout - Oyster
8195,Shucker's Reward Oyster Stout,Stout - Oyster,34,5.3,Stout - Oyster
8200,Shucks! Smoked Oyster Stout,Stout - Oyster,23,5.5,Stout - Oyster
8205,Baymen's Oyster Stout,Stout - Oyster,17,6.3,Stout - Oyster
8206,Local Oyster Stout,Stout - Oyster,22,5.2,Stout - Oyster
8207,Pearl & Stave,Stout - Oyster,23,9.0,Stout - Oyster
8209,Oyster Stout,Stout - Oyster,40,8.5,Stout - Oyster
8213,Shuck It Oyster Stout,Stout - Oyster,20,5.7,Roasty and light-bodied with a hint
8214,Nautical By Nature,Stout - Oyster,34,6.6,Stout - Oyster
8216,Mutiny & The Mollusk Oyster Stout,Stout - Oyster,38,5.6,Stout - Oyster
8217,Noank Smack,Stout - Oyster,15,5.8,Stout - Oyster
8220,Smoked and Salted Oyster Stout,Stout - Oyster,32,6.0,Smoked & salted O
8222,Auster Bier,Stout - Oyster,25,6.8,Stout - Oyster
8223,Franklin County Oyster Stout (pre 2017),Stout - Oyster,41,7.2,"A homage to the sleepy, quaint fishing village of Apalachicola, Fla., this velvety, roasted and robust oyster stout is complex yet drinkable. The use of poblano and chipotle pepper, as well as fresh Florida lemon peel, interplay with a delicate French Strisselspalt hop aroma to create a sweet, sessionable stout. Read Less"
8224,You Shuck,Stout - Oyster,22,7.0,Stout - Oyster
8225,Aw Shucks,Stout - Oyster,23,5.2,Stout - Oyster
8235,CocoNaughty (Blanton's Barrel Aged) (2020),Stout - Pastry,15,14.0,Chocolate Coconut Almond imperial stout aged in Blanton's bourbon barrels for 12 months. 20
8245,Triple Coconut Mexican Cake (Bourbon Barrel Aged) 2020,Stout - Pastry,15,14.0,Stout - Pastry
8247,Best Laid Plans,Stout - Pastry,35,9.0,Stout - Pastry
8248,Maple Syrup Bourbon Barrel Aged OFYMD (2020),Stout - Pastry,15,12.8,Pastry meets tiki - a pina colada style stout aged in maple syrup bourbon barrels for
8258,Bearied Treasure,Stout - Pastry,15,13.5,Stout - Pastry
8260,Fashionably Late,Stout - Pastry,35,7.0,Stout - Pastry
8272,Skillet Stacks,Stout - Pastry,55,8.0,Stout - Pastry
8292,Darkness (2016) Barrel-Aged,Stout - Russian Imperial,85,12.0,"This massive Russian Imperial Stout brings waves of flavors; chocolate, cherries, raisins, coffee, and toffee. Barrel-Aged Darkness is a limited edition variant that spent over three months aging in Rye Whiskey barrels from High West, a distillery in Park City, Utah. The aging process provides a distinct aromatic whiskey character that is oaky and spicy on top of the core Darkness flavors. Read Less"
8299,Parabola,Stout - Russian Imperial,69,13.0,"One of our most aggressive and sought-after offerings. Bold bourbon, tobacco and espresso aromas and a hint of American oak greet the nose. Rich, chewy roasted malts, charred oak and bourbon-like vanilla fill the palate and create a seamless finish. A remarkably complex brew that offers a transcendental drinking experience – enjoy with good company.
Read Less"
8301,Vlad Vs. Zombie Vs. Shark Maple Vanilla,Stout - Russian Imperial,60,18.0,Stout - Russian Imperial
8304,Darkness (2014),Stout - Russian Imperial,85,9.8,"The legendary Harpy tortured unwary travelers by stealing their precious food and drink. This year’s cruel creature defends her cauldron of Darkness with razor claws and a dead stare of malevolence. Don’t mess with her Darkness.

She’s hoarding this massively opaque barrel aged Stout screaming with notes of chocolate, coffee, dried tart cherries, vanilla, rye whisky and raisins. The thick body of this Russian Imperial Stout finishes sweet, with a piney resinous hop character.

Dare if you will to open the bottle and steal from the imagination of our 2014 Darkness artist, Erica Williams. Read Less"
8308,Double BA La Nada,Stout - Russian Imperial,40,15.0,"Our Russian Imperial Stout, La Nada has been aged in Rum barrels and Vanilla Bourbon barrels, then blended to "
8322,Bourbon Barrel Aged Plead the 5th,Stout - Russian Imperial,65,11.0,Stout - Russian Imperial
8328,From Hawaii With Love,Stout - White,42,7.0,"This Golden Stout blends Kona coffee from Kailua-Kona Hawaii with toasted coconut, and pinea"
8331,World Court Mocha Blonde Stout,Stout - White,24,6.0,Stout - White
8335,Oblique,Stout - White,19,6.2,Black and White C
8337,Cinnamon Prost,Stout - White,10,7.0,Stout - White
8338,White Stout,Stout - White,35,6.2,"Hints of coffee, chocolate, and vanilla. Brewed with Columbus and Goldings Hops and "
8341,This Beer Really Ties the Room Together,Stout - White,18,6.2,Stout - White
8342,White Coffee Stout,Stout - White,30,6.8,Stout - White
8343,Brehfuss,Stout - White,15,4.5,"Blonde srout with coffee beans, cocoa nibs and va"
8344,All Cats Are Gray In the Dark,Stout - White,50,7.2,White Stout - A light colored stout with a hint of coffee and strong notes of both chocolate a
8346,Chocolate Peanut Butter Cookie,Stout - White,14,7.2,"Blonde Stout brewed with Oatmeal, Chocolate, Peanut Butter, Lactose, Cinnamon, Vanilla, and Brown Sugar. Sweet, rich, and"
8352,Ivory Stout,Stout - White,19,5.1,Stout - White
8353,Scared of the Dark,Stout - White,25,6.2,Stout - White
8355,Shelby,Stout - White,30,6.2,Stout - White
8356,"This Aggression Will Not Stand, Man.",Stout - White,51,7.3,Stout - White
8357,Mark It Zero!,Stout - White,25,8.3,Stout - White
8358,In Good Company,Stout - White,32,7.0,Stout - White
8360,Better Than Doug White Stout,Stout - White,20,6.5,A pale stout with cocoa nibs and locally roasted coffee from Just 
8363,Imagination Land,Stout - White,40,6.5,Stout - White
8370,Contradiction,Stout - White,15,6.0,"Golden ale brewed with oats and lactose, then conditioned with loads of coffee, cocoa nibs and va"
8371,Gold Strike,Stout - White,25,6.9,"Imperial Golden Stout brewed with lactose, then aged with loads of toasted coconut, vanilla beans, cocoa nibs and French vani"
8373,Swan Dive,Stout - White,18,6.1,White C
8375,Solarising,Stout - White,25,6.6,"Golden Ale with Coffee, Chocolate, Vanilla"
8380,Firestone 18 (XVIII) Anniversary Ale,Strong Ale - American,35,13.0,"A dark and complex brew full of malt and barrel derived flavors, with Parabola leading the brew into the rich darkness. XVIII is best enjoyed poured carefully into a half filled brandy snifter or wine glass. Allow it to warm to 55F to fully enjoy the pleasing and complex aromas. As the beer sits and breathes in the glass, rich dark chocolate, toasted oak and dark fruit character is revealed, so take your time. Read Less"
8382,Samuel Adams Utopias,Strong Ale - American,45,28.0,Strong Ale - American
8384,Firestone 17 (XVII) Anniversary Ale,Strong Ale - American,30,13.3,"The lead beers of the blend are Bravo and Stickee Monkee, bringing rich molasses drenched oak flavors and cinnamon glazed almond aromas lifted by high alcohol. In the middle, our two favorite stouts, Parabola and Velvet Merkin, work in concert to provide a dusty cocoa mocha aroma and bitter dark chocolate flavors, reminiscent of Bourbon-soaked chocolate chip cookie dough. Double DBA brings its signature vanilla-infused crème brulée flavor and Helldorado brings balance with honey notes and light leather nuances. A dash of Wookey Jack offers fresh hop notes creating even more complexity. XVII is full of soft chocolate and warm spice perfectly balanced by toasted coconut, bourbon barrel notes and smooth creamy malt mellowness. XVII is best enjoyed in a half-filled brandy snifter or red wine glass. Allow it to warm to 55F to fully enjoy the complex aromas and flavors. As this beer sits and breathes in the glass, more rich chocolate and spice character is revealed. Read Less"
8388,Firestone 16 (XVI) Anniversary Ale,Strong Ale - American,36,13.0,"XVI is 42% stout with Velvet Merkin, Parabola and “PNC” working together as three roasty toasty friends creating rich cacao, chocolate and mocha flavors together. Helldorado, with flavors of lavender and honey liqueur fold in flowery notes and DDBA delivers its signature American toasted oak, English caramel toffee and light leather nuances. Stickee Monkee lends rich maple syrup, spicy cinnamon, and ripe fig flavors while Bravo adds barrel character and bourbon notes. The addition of Wookey Jack adds wily citrusy hop notes and spicy rye backbone. As this beer sits and breathes in the glass, more rich dusty chocolate, stone fruit and crème brulee characters are revealed as the rich spirit character fades. Read Less"
8390,Wizard Blend (2018),Strong Ale - American,50,13.6,"Prepare your grill-piece for a dizzyingly complex symphony of mouth-enrapturing, barrel-aged radness. After rigorous research sampling a vast field of potential blends, a power-combo of formidably delicious beers clicked into place like a Rubik’s cube of pure, synergistic flavor-magic: bourbon barrel-aged Devil’s Teeth, Monsters’ Park, Dragon Mask, Speaks with Planets, Modem Tones, Oblivion Ring, and Beastmaster, plus Devil’s Teeth Aged in Barbados Rum Barrels, Monsters’ Park aged in Bourbon/Maple Syrup Barrels, and Dragon Mask Aged in Sherry Barrels. Yeah. The resulting beer is an elixir of miraculous depth, bursting with layer upon layer of decadent magnificence from nose to lingering finish. Read Less"
8395,Firestone 22 (XXII) Anniversary Ale,Strong Ale - American,32,12.7,"Our annual anniversary ale, blended with the help of local Paso Robles winemakers. Components: 44% Stickee Monkee, 22% Parabola, 22% Bravo, 7% Rum Barrel Helldorado, 5% Gin Barrel Helldorado Read Less"
8397,Firestone 21 (XXI) Anniversary Ale,Strong Ale - American,28,11.8,"This year’s Anniversary beer is a magical blend of five components. Chocolatey, mild Velvet Merkin takes the lead setting the stage full of lush malt and barrel driven texture, yet tempered alcohol strength. The rest of the components fall perfectly in line, backing Velvet Merkin up with luscious caramel complexity and a creamy malt symphony. The final component adds a new twist – the rum barrel-soaked and lean Helldorado makes its Anniversary debut, bringing a fresh splash of island-spice to a ridiculously balanced barrel-aged brew. This is one of those times that the whole truly equals more than the sum of its parts. I couldn’t be happier with the result.

This beer is unfiltered and unfined, so there will be a small amount of sediment in the bottom of the bottle. XXI is best enjoyed poured carefully into a half-filled brandy snifter or wine glass. Allow it to warm to 55F to fully enjoy the pleasing and complex aromas. As the beer sits and breathes in the glass the true complexity of this blend is revealed, so take your time. If you wait to open your bottle later, store it in a cool dark place. Like our other Anniversary offerings, this beer will age well and change favorably for years to come. It was an absolute pleasure in the making and I truly hope you enjoy our 12th oak-aged blend! The journey continues.

This beer is dedicated to all of the new mothers and fathers within the FW Family and to their little ones who are our future.

-Matt Read Less"
8402,Firestone 24 (XXIV) Anniversary Ale,Strong Ale - American,30,11.3,"Our annual anniversary ale, blended with the help of local Paso Robles winemakers. Components: 27% Velvet Merkin, 26% Stickee Monkee, 17% Parabola, 17% Smoked Imperial Walker's Reserve, 11% Bravo, and 4% Tequila Barrel Helldorado Read Less"
8404,Dark Rituals (2021),Strong Ale - American,40,13.13,Strong Ale - American
8405,Firestone 25 (XXV) Anniversary Ale,Strong Ale - American,28,11.5,Strong Ale - American
8409,Angel's Share Bourbon Barrel Aged,Strong Ale - American,52,12.5,Strong Ale - American
8411,Stickee Monkee (2012),Strong Ale - American,45,13.0,"Brewed with Belgian candi sugar and aged in a selection of ﬁne bourbon barrels, Stickee Monkee trailblazes its own category as a “Central Coast Quad.” The name Stickee Monkee is a nod to the Central Coast’s native Sticky Monkey ﬂower, as well as a shout­‐out to the Belgian monks who pioneered the Quad style. The result is profound molasses flavors with notes of toasted oak, coconut, leather & cigar tobacco. Read Less"
8416,Capricho Oscuro (Batch 6),Strong Ale - American,28,12.2,Strong Ale - American
8420,"Deeds & Exploits - Coconut, Coffee & Vanilla",Strong Ale - American,15,13.0,"Blended Strong Ale aged in Bourbon Barrels with Coconut, Coffe"
8428,1st Anniversary Ale,Strong Ale - English,45,11.2,A blend of Bourbon Barrel Aged Old Skook Barleywine and Port Barrel Aged Russian Imp
8430,Mountain Man,Strong Ale - English,27,11.8,"English strong ale aged in Old Forester bourbon barrels. This years vintage has flavors of vanilla, oak and a touch "
8432,Samael's Oak-Aged Ale,Strong Ale - English,41,16.9,"Samaels is a super-caramelly, oak-aged English-style strong ale. Perhaps the least hoppy (sacrilege here at Avery!) beer we’ve brewed, to accentuate the malt. The oak is very apparent in this rich and high gravity ale, adding additional depth and complexity with a woody and cask-like nose and a pronounced vanilla flavor on the palate. With the addition of a more roasted malt in 2007, Samaels now delivers subtle bitterness to add balance to the natural sweetness. Cellarable for 10+ years. Read Less"
8435,Rum Barrel-Aged Mountain Man (Samoa Cookie Edition),Strong Ale - English,27,11.8,"Samoa Cookie Mountain Man. Aged for 9 months in Dancing Pines rum barrels with Ghana cocoa husks, house made caramel and toasted coc"
8437,Jolly Roger Christmas Ale (Bourbon Barrel),Strong Ale - English,52,9.0,Strong Ale - English
8438,Prime Minister,Strong Ale - English,48,8.6,"Not many examples of the style are available, especially locally, which is why we chose to brew Prime Minister. Consistent with our basic brewing philosophy, the mission for the Prime Minister is to provide north Texas with an exceptional example of the style, which may not be too familiar. Prime Minister appears dark orange with complex fruity esters contributing to the aroma. Its medium bodied with a malty/caramelly sweetness. Hop flavor is present and bitterness is light, but evident and balanced with the malt flavors present. Fruity-ester flavors add to the character of this rich, somewhat sweet and complex beer. Read Less"
8439,1314 Barrel Aged Anniversary Ale (2017),Strong Ale - English,45,11.7,"A Wyoming Whiskey barrel aged English Strong Ale that has been aged for 12 months. English strong ale is a rich, complex malty sweet beer with hints of figs, raisins, dark fruits and balanced with a dry alcohol finish. Barrel aging will impart bourbon flavors of wood, coconut, vanilla, caramel, licorice, brown sugar and cinnamon. These nuances will be noticeable in the aroma and aftertaste. Barrel aged beers are very complex and intense. They should be enjoyed over a longer period of time to allow the beer to warm up and change in complexity. It is not meant to be consumed quickly. Read Less"
8440,Drunken Hank,Strong Ale - English,30,11.5,Bourbon barrel aged Old ale/
8442,Double Disco 2019 - Blue Label,Strong Ale - English,80,11.0,Our 2018 vintage of Double Disco with a double dose of dry hopping using Mosaic hops then aged 12 months in Bulleit Bourbon barrels. These bottles are called out specifically with a # 5 stamped in the wax top. (ABV% is approximate) Read Less
8443,1314 Barrel Aged English Strong Ale,Strong Ale - English,40,9.5,Strong Ale - English
8444,The Lazy Englishman,Strong Ale - English,30,9.1,Strong Ale - English
8446,Yankee Swap 2013,Strong Ale - English,38,12.0,Strong Ale - English
8448,Oak Aged Vito,Strong Ale - English,50,9.0,"Rich and bold, this strong ale has a tangy, spicy oak flavor with a suggestion of vanilla and spice notes that will further develop with"
8450,Stone the Crows,Strong Ale - English,35,10.5,Strong Ale - English
8451,The Old North Road,Strong Ale - English,37,8.9,"Brewed with vanilla, "
8462,Hairy Man Dark Strong Ale,Strong Ale - English,25,8.0,Strong Ale - English
8465,Collaboration No. 3 - Stingo,Strong Ale - English,35,8.5,"Collaboration No. 3 - Stingo was brewed using traditional English ingredients. A variety of ale and specialty malts from Yorkshire are at the forefront; their pronounced roasty aroma and flavor contain hints of toffee, cocoa and bread crust. English hop varieties contribute subtle herbal, peppery qualities. The beer was brewed in batches; some was fermented on oak, some was fermented normally, and some was allowed to sour in the mash tun before being transferred to a fermenter. Batches were then blended until desired levels of wood and tartness were achieved for the final product.

Collaborative:
Boulevard Brewing and Pretty Things Beer & Ale Project. Read Less"
8468,Stock Ale,Strong Ale - English,42,7.5,Strong Ale - English
8469,Bourbon Barrel Aged Ale,Strong Ale - English,16,9.5,Strong Ale - English
8472,Dwarvish Ale - 2018,Strong Ale - English,29,9.7,Strong Ale - English
8475,Helm of Hador,Strong Ale - English,34,7.6,English strong ale with lush malty body and su
8477,25th Anniversary Grand Cru,Strong Ale - Other,25,11.1,Strong Ale - Other
8480,Rackhouse Reserve (2020),Strong Ale - Other,25,12.5,"After tasting through our rackhouse of spirits barrel-aged beers, we selected a complex blend that evolves as you drink. Rackhouse Reserve incorporates ales aged in a variety of bourbon barrels for up to 18 months, culminating in a harmony of warm flavors reminiscent of caramel, toasted marshmallow, spicy oak and dark chocolate. Read Less"
8481,Deeds & Exploits - Coffee & Vanilla,Strong Ale - Other,45,14.3,"This blend of bourbon barrel-aged strong ales was lavished with vanilla beans and bourbon-and-vanilla infused, house-roasted coffee. The result is a mind-blowingly decadent flavor fiesta with notes of coffee cake, bourbon, oak, and a subtle fruit character that brings the whole thing home in an incredibly satisfying fashion. Read Less"
8483,Stronger Than Fiction (2020),Strong Ale - Other,25,13.43,"Stronger Than Fiction is a malt-rich American Strong Ale aged in a blend of bourbon barrels. Its syrupy caramel base melts into the subtle, silky sweetness of raw coconut while a blend of Bodhi Leaf-roasted Brazil-Minas coffee beans balances the dessert beer with almond aromatics and roasty, chocolate-driven bitterness.

Stronger Than Fiction bottles will go on sale through the TOAST platform at 11:45am on Sunday, 11/15 at bottlelogic.com/orderonline. Purchases made through TOAST must be retrieved on the day they're ordered and are not available for proxy pick-up.

Stronger Than Fiction will go on sale on EVENTBRITE at 11:45am on Wednesday, 11/18. Pickup will be available from 11/18 - 12/6, proxies welcome. tinyurl.com/strongerthan2020 Read Less"
8484,Dosvidanya Brewer's Blend (2020),Strong Ale - Other,84,14.0,"This limited release variant is a custom Brewer’s Blend of barrel-aged beers:
Bourbon Barrel Dosvidanya (2020)
Rye Barrel Dosvidanya (2020)
Rye Barrel Belgian Imperial Stout (2018)
Rye Barrel Barleywine (2018)
Aromas of chocolate, toffee & dark fruit greet you, followed by complex flavors of bourbon, vanilla & oak. Spiciness from rye malt & rye whiskey barrels rounds out a dry finish. Read Less"
8488,Details & Dialects (2021),Strong Ale - Other,25,13.55,Strong Ale - Other
8490,30th Anniversary Ale,Strong Ale - Other,25,12.5,Strong Ale - Other
8492,Staff of Asir (2020),Strong Ale - Other,20,13.46,"We reconvened with the innovators at Horus Aged Ales to re-release our hit White Chocolate Chip Macadamia Nut Cookie-inspired Strong Ale, Staff Of Asir!⁣⁣⁣
⁣⁣⁣
Like the first batch, Staff Of Asir 2020 was brewed with macadamia nut flour, lactose, and heaping mounds of cocoa butter before 'baking' in bourbon barrels. Caramelized brown sugar notes meet and meld with soft vanilla from Madagascar beans and oak barrels, while finishing additions of macadamia nuts lend a luxurious, creamy finish to the brew for a perfect sip of fresh-baked nostalgia.⁣⁣⁣

SOA goes on sale online at noon on Sunday, 1/5 at tinyurl.com/BLSOA2020! Read Less"
8495,The Peace We Found In Tombs,Strong Ale - Other,32,13.0,Strong Ale - Other
8497,Code Switching,Strong Ale - Other,25,13.55,Strong Ale - Other
8506,VII Anniversary Blend,Strong Ale - Other,40,10.0,"We have created a one-time blend of barrel aged beer. Bourbon barrel aged pumpkin ale, barley wine, smoked lager, and barrel aged stouts are woven together and finished with cacao, vanilla, and ancho chile. Read Less"
8516,Manhattan Project,Strong Ale - Other,18,13.5,Strong Ale - Other
8518,Journeywork of the Stars,Strong Ale - Other,57,13.4,Strong Ale - Other
8521,Watch That Ten Gallon,Strong Ale - Other,68,12.4,Strong Ale - Other
8522,2019 Hogus Maximus Extremis,Strong Ale - American,50,14.8,"Starting with our Hogus Maximus Triple IPA, we continuously fed the yeast until they tired of the buffet. Laid to rest in freshly dumped bourbon barrels for a year transforms this beer into a superbly balanced and gratifyingly lavish strong ale. Complex and nuanced, boasting bourbon saturated vanilla, perfectly toasted marshmallows, rich almond liqueur, English toffee candy, lightly toasted coconut, and a lingering sense of hedonism. Read Less"
8553,Cush Jr.,Table Beer,40,4.2,Table Beer
8563,MINUTEMAN,Table Beer,3,4.3,"Meerts style beer is a table or field beer, a low alcohol offering traditionally made with second running lambic wort. Modern day meerts’ have their own dedicated brewday, with scaled down grists to achieve the lower alcohol for the style. MINUTEMAN is light, slightly tart, and very approachable. Meant to be drank in the summer months, we recommend enjoying immediately, but aging this beer will yield interesting results.
Read Less"
8567,Petit Colosse,Table Beer,20,4.5,"Belgian table beer that has seven different grains and styrian golding hops, which provide balance to the fruity Belgian-yeast der"
8574,Le Petit Prince (Green Bottle),Table Beer,30,2.9,Farmhouse Table Beer packaged in a gr
8575,Tour de Table,Table Beer,20,4.5,Table Beer
8576,Paw Paw,Traditional Ale,30,5.0,Traditional Ale
8578,Lost Dutchman,Traditional Ale,15,6.3,Traditional Ale
8584,MNTN/MTHR - DJ Dieselboy Collab (Ghost 718),Traditional Ale,6,3.5,"Ale brewed with Tea, Mandarin, Mint, Marshmallow, Marigold, Maple, and Miso.

This is collaboration number THREE with our friend and drum and bass extraordinaire Damian Higgins, aka, DJ Dieselboy! Previously have done a porter and a blonde ale, this time we switched it up with a light and fluffy tea ale. It's a breath of fresh air, and makes you think of floating on a cloud. Chase it with one of our Russian Imperials to bring you back down to reality. Read Less"
8585,Strawberry Spring Session Ale,Traditional Ale,10,4.3,"Strawberry Spring Session Ale, a juicy, creamy, hazy, low ABV concoction that's sure to bring you to a bright and s"
8586,Juicy Fruit (Barrel Aged),Traditional Ale,15,5.2,American ale brewed with natural peach and mango purée then aged in Colorado whisk
8587,Naughty 90 Oaked Ale,Traditional Ale,100,8.0,"A dark, rich, strong ale brewed with toasted malts and aged on a bed of oak. Its bitterness is masked by roasted oak and smooth cara"
8590,Barrel-Aged Atomic Tauntaun,Traditional Ale,20,8.2,Traditional Ale
8595,Philly Pretzel,Traditional Ale,25,5.6,We added 10 pounds per BBL of Philly Pretzels into the mash of this malty bis
8596,Uncle Olaf,Traditional Ale,19,7.6,Traditional Ale
8598,Jack Pine Pumpkin,Traditional Ale,10,4.6,Traditional Ale
8600,Stud Wall,Traditional Ale,35,6.3,Traditional Ale
8607,Xploration,Traditional Ale,35,6.0,"Maris otter & dark crystal malts. Toasty malt, sw"
8608,Klaas Vaak,Traditional Ale,30,6.3,Traditional Ale
8610,Tastes Like Upstate,Traditional Ale,38,5.9,Brewed with our friends from Indian Ladder Farmstead in celebration of New York's fall harvest using malt and hops grown on their farm at our brewery. Read Less
8613,Adler Brau,Traditional Ale,15,4.9,*Special Release* 1940s version of Adler Brau released in honor of GEO. Walter'
8615,Oatmeal Cookie Ale,Traditional Ale,27,4.7,"Snickerdoodle, Ti"
8617,El Gizmito,Traditional Ale,16,5.25,Traditional Ale
8620,Konomi 好み,Traditional Ale,20,5.4,Traditional Ale
8623,Otis,Traditional Ale,35,4.5,Traditional Ale
8632,Jungle Boogie with Pineapple,Wheat Beer - American Pale Wheat,45,5.5,Wheat Beer - American Pale Wheat
8633,Jungle Boogie with Mango,Wheat Beer - American Pale Wheat,45,5.5,Wheat Beer - American Pale Wheat
8634,Unholy Trinity,Wheat Beer - American Pale Wheat,104,6.5,Wheat Beer - American Pale Wheat
8635,Spruced,Wheat Beer - American Pale Wheat,44,5.0,Wheat Beer - American Pale Wheat
8638,Freshly Squeezed Blueberry Lemonade Wheat,Wheat Beer - American Pale Wheat,15,5.6,Wheat Beer - American Pale Wheat
8639,Thresher,Wheat Beer - American Pale Wheat,45,5.8,"This wheat IPA is brewed with Citra and Simcoe hops, creating a balanced flavor of hop"
8640,Gumballhead,Wheat Beer - American Pale Wheat,35,5.6,Wheat Beer - American Pale Wheat
8642,Jungle Boogie with Peach,Wheat Beer - American Pale Wheat,45,5.5,Jungle Boogie with whi
8645,Freshly Squeezed Cherry Limeade Wheat,Wheat Beer - American Pale Wheat,12,5.0,Wheat Beer - American Pale Wheat
8646,Batty Millie (Blueberry),Wheat Beer - American Pale Wheat,21,5.8,Blueberr
8648,Lumpen Boogie,Wheat Beer - American Pale Wheat,45,5.5,Wheat Beer - American Pale Wheat
8651,Kalamansi Kreamsicle,Wheat Beer - American Pale Wheat,24,5.7,Wheat Beer - American Pale Wheat
8652,WHT CHCLT ALE (White Chocolate Ale),Wheat Beer - American Pale Wheat,16,4.7,Wheat Beer - American Pale Wheat
8653,Boy with the Boot,Wheat Beer - American Pale Wheat,14,5.0,Wheat Beer - American Pale Wheat
8655,Hop Lab Wheat IPA,Wheat Beer - American Pale Wheat,40,7.2,Wheat Beer - American Pale Wheat
8656,Fortunate Islands with Grapefruit Zest,Wheat Beer - American Pale Wheat,46,5.0,Wheat Beer - American Pale Wheat
8663,OJ IPA,Wheat Beer - American Pale Wheat,34,6.3,Wheat Beer - American Pale Wheat
8665,Candy Cane White Chocolate,Wheat Beer - American Pale Wheat,16,4.7,Wheat Beer - American Pale Wheat
8668,Jungle Boogie,Wheat Beer - American Pale Wheat,44,5.4,Jungle Boogie is an American Wheat beer with just enough complex malt character to balance the hops and fruity rooibos t
8669,1 In A Melon,Wheat Beer - American Pale Wheat,13,5.3,This refreshing watermelon wheat that will have you wa
8671,Freshly Squeezed Grapefruit Wheat,Wheat Beer - American Pale Wheat,15,5.6,Wheat Beer - American Pale Wheat
8674,TEST - Grapefruit Wheat,Wheat Beer - American Pale Wheat,20,4.7,"A bright, citrusy and grapefruit forward wheat beer with a medium body and moderate"
8675,Piña Colada Wheat,Wheat Beer - American Pale Wheat,12,5.6,Wheat Beer - American Pale Wheat
8676,Trip in the Woods: Rye Barrel-Aged Dunkelweizen,Wheat Beer - Dunkelweizen,28,9.6,"Dunkelweizen beers are the dark, robust, and surly cousins of the German-style hefeweizen. We elevate the traditional Dunkelweizen to the next level with the addition of rye and other specialty malts, building on the rich flavor profile. Our brewers then aged the beer in barrels formerly used to mature rye whiskey. With the first sip, you’ll discover the fruity and spicy nature of the Weizen yeast, but the finish is where the rye barrels shine—peppery and intense with a touch of vanilla flavor for a truly unique beer. Read Less"
8679,Dunkelweizen,Wheat Beer - Dunkelweizen,11,5.0,Wheat Beer - Dunkelweizen
8680,Küsterer Dunkelweizen,Wheat Beer - Dunkelweizen,18,5.9,Wheat Beer - Dunkelweizen
8682,Funkelweizen,Wheat Beer - Dunkelweizen,10,4.4,Wheat Beer - Dunkelweizen
8686,Dunkelkristallweizen,Wheat Beer - Dunkelweizen,16,7.0,Wheat Beer - Dunkelweizen
8688,Dunkelweizen,Wheat Beer - Dunkelweizen,12,5.25,"Creamy, banana and plum, with chocolate and "
8689,Ewald the Dark,Wheat Beer - Dunkelweizen,14,5.2,Wheat Beer - Dunkelweizen
8690,Dingaudamnit,Wheat Beer - Dunkelweizen,15,6.0,This dark wheat beer had a great spice note along with a touch of classic banan
8693,Black Mountain Munich Dunkel,Wheat Beer - Dunkelweizen,22,5.1,Wheat Beer - Dunkelweizen
8698,Dead Headed Dunkelweizen,Wheat Beer - Dunkelweizen,13,5.3,"This German dark wheat beer is brewed with bready malts, chocolate malts, and wheat. Banana and Chocolate flavors along with subtle spi"
8700,Delta,Wheat Beer - Dunkelweizen,20,5.1,German-style dark
8701,Stop Trashing Our Bathroom!,Wheat Beer - Dunkelweizen,12,5.3,Wheat Beer - Dunkelweizen
8702,Bench Weiss,Wheat Beer - Dunkelweizen,21,7.7,Wheat Beer - Dunkelweizen
8703,D-Vice Dunkelweizen,Wheat Beer - Dunkelweizen,16,5.2,Wheat Beer - Dunkelweizen
8707,Munich Thunder Dunkel Lager,Wheat Beer - Dunkelweizen,22,5.0,Wheat Beer - Dunkelweizen
8711,Dunklen Helm Schwarzbier,Wheat Beer - Dunkelweizen,25,5.5,Wheat Beer - Dunkelweizen
8715,Dunkelweizen,Wheat Beer - Dunkelweizen,18,5.3,Wheat Beer - Dunkelweizen
8717,Doc's Dunkel,Wheat Beer - Dunkelweizen,19,4.7,Wheat Beer - Dunkelweizen
